162,bootstrap-sass
2,bootbox-rails
1,select2-rails
2,ostruct
23,json
2,orm_adapter
6,warden
103,journey
3,delegate
1,tmpdir
11,tempfile
245,devise
1,multi_json
87,simple_form
12,erubis
1,singleton
140,responders
148,inherited_resources
1,subexec
1,shellwords
18,mini_magick
1,carrierwave
200,acts-as-taggable-on
26,pg_search
20,whenever
4,acts_as_list
2,default_value_for
1,zentest_mapping
9,inline
24,fuzzystringmatch
45,state_machine
3,figaro
340,backports
1,descendants_tracker
362,virtus
2,request_store
51,draper
7,naught
5,open-uri
57,css_parser
7,htmlentities
86,premailer
113,nokogiri
100,load_parsers
252,mail
42,delayed_job
14,delayed_job_active_record
53,tilt
79,delayed_job_web
10,builder
31,airbrake
36,delayed-plugins-airbrake
46,daemons
9,analytical
50,metric_parser
54,conditional_vendored_metric_parser
4,dependency_detection
10,conditional_vendored_dependency_detection
212,newrelic_rpm
48,intercom-rails
8,intercom
4,ace-rails-ap
1,active_utils
106,active_merchant
111,activemerchant
2,encryptor
10,attr_encryptor
51,iso4217
128,iso3166
1,country_select
5,biggs
5,charlock_holmes
1,currency_data
8,easy_money
6,oj
20,rabl
26,apipie-rails
56,strong_parameters
1,weakref
3,ref
77,v8
90,execjs
96,coffee_script
101,coffee-script
115,coffee-rails
1,uglifier
24,chunky_png
167,compass
179,compass-rails
5107,webrick
1,abbrev
75,highline
283,capistrano
2,parallel
7,parallel_tests
3,sextant
2,prettyprint
11,pp
2,coderay
3,ipaddr
1,debug_inspector.so
5,debug_inspector
12,binding_of_caller
58,better_errors
1,quiet_assets
2,meta_request
48,method_source
5,slop
3,readline
1,ruby_debug.so
1,tracelines19
8,linecache19
23,ruby-debug-base
1,columnize
1,e2mmap
81,irb
202,ruby-debug
208,debugger
441,pry
453,pry-rails
2,pry-debugger
8,coolline
78,pry-coolline
3,pry-stack_explorer
0,rspec-rails
1,find
17,listen
2,terminal-notifier-guard
11,launchy
20,letter_opener
1,English
7,hodel_3000_compliant_logger
69,oink
33,chronic
1,flux_capacitor
46,delorean
9,sprockets
75,tzinfo
1,hike
2,callsite
1,rdoc
2,bcrypt_ext
14,bcrypt
10,csv
504,ruby_prof
620,ruby-prof
5,optparse
11,active_support
2,action_pack
6,i18n
13,active_model
1,rack
39,action_dispatch
2,logger
2,psych.so
43,psych
2,yaml
1,base64
144,rails
2,bigdecimal
81,arel
114,active_record
47,abstract_controller
4,erb
10,action_view
71,action_controller
8,action_mailer
3,active_resource
4,pg_ext
8,pg
158,haml
161,haml-rails
19,jquery-rails
3,jquery-ui-rails
153,sass
2,sass-rails
163,bootstrap-sass
2,bootbox-rails
1,select2-rails
1,ostruct
19,json
2,orm_adapter
6,warden
47,journey
2,delegate
2,tmpdir
13,tempfile
194,devise
2,multi_json
83,simple_form
12,erubis
1,singleton
141,responders
147,inherited_resources
1,subexec
1,shellwords
17,mini_magick
2,carrierwave
169,acts-as-taggable-on
26,pg_search
21,whenever
3,acts_as_list
2,default_value_for
2,zentest_mapping
11,inline
26,fuzzystringmatch
49,state_machine
2,figaro
328,backports
1,descendants_tracker
349,virtus
1,request_store
51,draper
5,naught
4,open-uri
65,css_parser
5,htmlentities
91,premailer
112,nokogiri
101,load_parsers
257,mail
46,delayed_job
15,delayed_job_active_record
56,tilt
83,delayed_job_web
7,builder
30,airbrake
35,delayed-plugins-airbrake
47,daemons
8,analytical
52,metric_parser
56,conditional_vendored_metric_parser
3,dependency_detection
8,conditional_vendored_dependency_detection
214,newrelic_rpm
44,intercom-rails
10,intercom
4,ace-rails-ap
1,active_utils
107,active_merchant
113,activemerchant
2,encryptor
9,attr_encryptor
51,iso4217
129,iso3166
2,country_select
5,biggs
5,charlock_holmes
1,currency_data
11,easy_money
7,oj
63,rabl
27,apipie-rails
56,strong_parameters
1,weakref
3,ref
82,v8
94,execjs
100,coffee_script
107,coffee-script
125,coffee-rails
1,uglifier
27,chunky_png
179,compass
190,compass-rails
122,webrick
1,abbrev
72,highline
284,capistrano
2,parallel
7,parallel_tests
